               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.017205,           0.0052718,                   0,                   1,             0.91807,             0.98641,             0.63559,            0.028465,            0.003965,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.018205,           0.0054146,                   0,                   1,             0.91522,             0.98317,             0.64643,            0.028555,           0.0040054,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017172,           0.0051838,                   0,                   1,                0.91,             0.97756,             0.63682,            0.028228,            0.004019,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.017849,           0.0054011,                   0,             0.92301,             0.95913,             0.96721,             0.63429,            0.028709,           0.0040448,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.017572,           0.0052958,                   0,             0.92294,             0.95823,             0.96639,              0.6182,            0.029395,           0.0041469,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017127,           0.0053653,                   0,             0.95425,                0.92,             0.95008,              0.6211,            0.029076,           0.0041684,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.016581,           0.0054583,                   0,             0.91894,                0.96,             0.96986,              0.6261,            0.029143,           0.0041623,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016588,           0.0053677,                   0,              0.9227,              0.9551,             0.96844,             0.62999,             0.02927,            0.004162,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.017013,           0.0053622,                   0,             0.92286,             0.95715,             0.97248,             0.64199,            0.029007,           0.0041714,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018198,           0.0058425,                   0,             0.91736,                0.96,             0.96844,             0.64112,            0.029105,           0.0041736,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.017035,           0.0054064,                   0,             0.92296,             0.95849,             0.97526,             0.62843,            0.029185,           0.0042177,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.016595,           0.0045986,                   0,             0.92262,             0.95412,             0.97465,              0.6243,            0.029164,           0.0042679,                   0,            0.000298,            0.000298,            0.000298
